# name<TAB>version<TAB>platforms<TAB>declared-license<TAB>source<TAB>repository
# Generated from the locked quirl-cli normal/build closure for all supported release targets.
scopeguard	1.2.0	linux,macos	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	https://github.com/bluss/scopeguard
semver	1.0.28	linux,macos	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	https://github.com/dtolnay/semver
serde	1.0.229	linux,macos	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	https://github.com/serde-rs/serde
serde-value	0.7.0	linux,macos	MIT	registry+https://github.com/rust-lang/crates.io-index	https://github.com/arcnmx/serde-value
serde_core	1.0.229	linux,macos	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	https://github.com/serde-rs/serde
serde_derive	1.0.229	linux,macos	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	https://github.com/serde-rs/serde
serde_json	1.0.151	linux,macos	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	https://github.com/serde-rs/json
serde_spanned	1.1.1	linux,macos	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	https://github.com/toml-rs/toml
serde_yaml_ng	0.10.0	linux,macos	MIT	registry+https://github.com/rust-lang/crates.io-index	https://github.com/acatton/serde-yaml-ng
serial2	0.2.38	linux,macos	BSD-2-Clause OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	https://github.com/de-vri-es/serial2-rs
sha2	0.10.9	linux,macos	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	https://github.com/RustCrypto/hashes
shell-words	1.1.1	linux,macos	MIT/Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	https://github.com/tmiasko/shell-words
shlex	2.0.1	linux,macos	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	https://github.com/comex/rust-shlex
signal-hook	0.3.18	linux,macos	Apache-2.0/MIT	registry+https://github.com/rust-lang/crates.io-index	https://github.com/vorner/signal-hook
signal-hook-mio	0.2.5	linux,macos	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	https://github.com/vorner/signal-hook
signal-hook-registry	1.4.8	linux,macos	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	https://github.com/vorner/signal-hook
